日付,勤務日付軸,昼夜勤,ユニットコード,工程順番,機番,時間帯,作業者,運転モード,異常種類,異常№,異常内容,ON/OFF,起動時異常停止時間(s),運転中異常停止時間(s),ﾜｰｸ№ST1,ﾜｰｸ№ST2,ﾜｰｸ№ST3,ﾜｰｸ№ST4,ﾜｰｸ№ST5,ﾜｰｸ№ST6,ﾜｰｸ№ST7,ﾜｰｸ№ST8,ﾜｰｸ№ST9,ﾜｰｸ№ST10,ﾜｰｸ№ST11,ﾜｰｸ№ST12,ﾜｰｸ№ST13,ﾜｰｸ№ST14,ﾜｰｸ№ST15,ｼﾘｱﾙ№ST1,ｼﾘｱﾙ№ST2,ｼﾘｱﾙ№ST3,ｼﾘｱﾙ№ST4,ｼﾘｱﾙ№ST5,ｼﾘｱﾙ№ST6,ｼﾘｱﾙ№ST7,ｼﾘｱﾙ№ST8,ｼﾘｱﾙ№ST9,ｼﾘｱﾙ№ST10,ｼﾘｱﾙ№ST11,ｼﾘｱﾙ№ST12,ｼﾘｱﾙ№ST13,ｼﾘｱﾙ№ST14,ｼﾘｱﾙ№ST15,ｲﾝﾃﾞｯｸｽ№ST1,ｲﾝﾃﾞｯｸｽ№ST2,ｲﾝﾃﾞｯｸｽ№ST3,ｲﾝﾃﾞｯｸｽ№ST4,ｲﾝﾃﾞｯｸｽ№ST5,ｲﾝﾃﾞｯｸｽ№ST6,ｲﾝﾃﾞｯｸｽ№ST7,ｲﾝﾃﾞｯｸｽ№ST8,ｲﾝﾃﾞｯｸｽ№ST9,ｲﾝﾃﾞｯｸｽ№ST10,ｲﾝﾃﾞｯｸｽ№ST11,ｲﾝﾃﾞｯｸｽ№ST12,ｲﾝﾃﾞｯｸｽ№ST13,ｲﾝﾃﾞｯｸｽ№ST14,ｲﾝﾃﾞｯｸｽ№ST15
2025/11/27 14:15:19,2025/11/27,昼勤,10-1719,2,AM323,-,--,自動,運転中異常,488,need_data,on,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2025/11/27 14:15:32,2025/11/27,昼勤,10-1719,2,AM323,-,--,手動,運転中異常,488,need_data,異常処置終了,0,13,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2025/11/27 14:18:10,2025/11/27,昼勤,10-1719,2,AM323,-,--,自動,運転中異常,404,need_data,on,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2025/11/27 14:18:33,2025/11/27,昼勤,10-1719,2,AM323,-,--,手動,運転中異常,404,need_data,異常処置終了,0,23,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2025/11/27 14:21:20,2025/11/27,昼勤,10-1719,2,AM323,-,--,自動,運転中異常,486,need_data,on,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2025/11/27 14:21:43,2025/11/27,昼勤,10-1719,2,AM323,-,--,手動,運転中異常,486,need_data,異常処置終了,0,23,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2025/11/27 14:23:34,2025/11/27,昼勤,10-1719,1,AM322,-,--,自動,運転中異常,576,need_data,on,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2025/11/27 14:24:02,2025/11/27,昼勤,10-1719,1,AM322,-,--,手動,運転中異常,576,need_data,異常処置終了,0,28,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2025/11/27 14:24:17,2025/11/27,昼勤,10-1719,2,AM323,-,--,自動,運転中異常,488,need_data,on,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2025/11/27 14:24:39,2025/11/27,昼勤,10-1719,2,AM323,-,--,手動,運転中異常,488,need_data,異常処置終了,0,22,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2025/11/27 14:26:25,2025/11/27,昼勤,10-1719,1,AM322,-,--,自動,運転中異常,576,need_data,on,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2025/11/27 14:26:53,2025/11/27,昼勤,10-1719,1,AM322,-,--,手動,運転中異常,576,need_data,異常処置終了,0,28,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2025/11/27 14:27:13,2025/11/27,昼勤,10-1719,1,AM322,-,--,自動,運転中異常,576,need_data,on,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2025/11/27 14:27:40,2025/11/27,昼勤,10-1719,1,AM322,-,--,手動,運転中異常,576,need_data,異常処置終了,0,27,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2025/11/27 14:27:59,2025/11/27,昼勤,10-1719,1,AM322,-,--,自動,運転中異常,576,need_data,on,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2025/11/27 14:28:27,2025/11/27,昼勤,10-1719,1,AM322,-,--,手動,運転中異常,576,need_data,異常処置終了,0,28,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2025/11/27 14:29:15,2025/11/27,昼勤,10-1719,1,AM322,-,--,自動,運転中異常,576,need_data,on,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2025/11/27 14:29:43,2025/11/27,昼勤,10-1719,1,AM322,-,--,手動,運転中異常,576,need_data,異常処置終了,0,28,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2025/11/27 14:31:50,2025/11/27,昼勤,10-1719,2,AM323,-,--,自動,運転中異常,404,need_data,on,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2025/11/27 14:32:12,2025/11/27,昼勤,10-1719,2,AM323,-,--,手動,運転中異常,404,need_data,異常処置終了,0,22,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2025/11/27 14:33:00,2025/11/27,昼勤,10-1719,1,AM322,-,--,自動,運転中異常,576,need_data,on,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2025/11/27 14:33:49,2025/11/27,昼勤,10-1719,1,AM322,-,--,手動,運転中異常,576,need_data,異常処置終了,0,49,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2025/11/27 14:39:12,2025/11/27,昼勤,10-1719,2,AM323,-,--,自動,運転中異常,485,need_data,on,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2025/11/27 14:39:36,2025/11/27,昼勤,10-1719,2,AM323,-,--,手動,運転中異常,485,need_data,異常処置終了,0,24,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
